Time,ROI_Name,ROI,Mean_Calcium,Mean_Background,Ratio
0,background,0,6.27,43.931,0.142723817
0,Airpore Old 1,1,9.22,44.539,0.207009587
0,Airpore Old 2,2,10.049,48.239,0.208316922
0,Airpore Old 3,3,9.176,47.683,0.192437556
0,Airpore Medium 1,4,10.06,48.065,0.209299906
3,background,0,6.54,43.521,0.150272282
3,Airpore Old 1,1,9.384,44.043,0.213064505
3,Airpore Old 2,2,10.019,48.305,0.207411241
3,Airpore Old 3,3,9.259,47.376,0.195436508
3,Airpore Medium 1,4,10.212,48.047,0.212541886
6,background,0,6.587,43.503,0.151414845
6,Airpore Old 1,1,9.529,44.488,0.214192591
6,Airpore Old 2,2,9.923,48.108,0.20626507
6,Airpore Old 3,3,9.65,47.56,0.202901598
6,Airpore Medium 1,4,10.401,47.404,0.219411864
9,background,0,6.597,43.139,0.152924268
9,Airpore Old 1,1,9.431,43.769,0.215472138
9,Airpore Old 2,2,9.993,47.622,0.20983999
9,Airpore Old 3,3,9.328,46.053,0.202549237
9,Airpore Medium 1,4,10.459,47.555,0.219934812
12,background,0,6.545,42.169,0.155208803
12,Airpore Old 1,1,9.336,43.315,0.215537343
12,Airpore Old 2,2,10.384,46.957,0.221138488
12,Airpore Old 3,3,9.413,45.952,0.204844185
12,Airpore Medium 1,4,10.191,46.272,0.220241183
15,background,0,6.472,41.782,0.154899239
15,Airpore Old 1,1,9.336,42.509,0.21962408
15,Airpore Old 2,2,10.131,46.243,0.219081807
15,Airpore Old 3,3,9.484,45.573,0.208105677
15,Airpore Medium 1,4,10.388,46.867,0.221648495
18,background,0,6.47,41.783,0.154847665
18,Airpore Old 1,1,9.509,42.317,0.224708746
18,Airpore Old 2,2,10.048,46.503,0.216072081
18,Airpore Old 3,3,9.401,45.772,0.205387573
18,Airpore Medium 1,4,10.683,45.951,0.232486779
21,background,0,6.64,42.223,0.157260261
21,Airpore Old 1,1,9.723,42.962,0.22631628
21,Airpore Old 2,2,9.958,46.312,0.215019865
21,Airpore Old 3,3,9.286,46.392,0.200163821
21,Airpore Medium 1,4,10.324,46.1,0.223947939
24,background,0,6.52,42.032,0.155119909
24,Airpore Old 1,1,9.435,42.46,0.222209138
24,Airpore Old 2,2,10.073,46.413,0.217029712
24,Airpore Old 3,3,9.357,45.041,0.207744055
24,Airpore Medium 1,4,10.224,46.454,0.22008869
27,background,0,6.558,41.707,0.157239792
27,Airpore Old 1,1,9.406,42.219,0.222790687
27,Airpore Old 2,2,9.889,46.616,0.212137464
27,Airpore Old 3,3,9.376,45.908,0.204234556
27,Airpore Medium 1,4,10.246,45.63,0.224545255
30,background,0,6.494,41.679,0.15580988
30,Airpore Old 1,1,9.336,42.377,0.220308186
30,Airpore Old 2,2,10.017,45.415,0.220565892
30,Airpore Old 3,3,9.335,45.18,0.206617973
30,Airpore Medium 1,4,10.23,46.331,0.220802486
33,background,0,6.56,41.69,0.157351883
33,Airpore Old 1,1,9.445,42.46,0.222444654
33,Airpore Old 2,2,9.844,46.127,0.213410801
33,Airpore Old 3,3,9.087,45.515,0.199648468
33,Airpore Medium 1,4,10.267,46.083,0.222793655
36,background,0,6.471,41.806,0.154786394
36,Airpore Old 1,1,9.311,42.52,0.218979304
36,Airpore Old 2,2,9.941,45.827,0.21692452
36,Airpore Old 3,3,9.304,45.528,0.204357758
36,Airpore Medium 1,4,10.617,46.269,0.229462491
39,background,0,6.487,42.151,0.153899077
39,Airpore Old 1,1,9.457,42.51,0.222465302
39,Airpore Old 2,2,9.649,45.414,0.212467521
39,Airpore Old 3,3,9.281,45.247,0.205118571
39,Airpore Medium 1,4,11.102,46.199,0.240308232
42,background,0,6.566,41.502,0.158209243
42,Airpore Old 1,1,9.42,42.409,0.222122663
42,Airpore Old 2,2,9.818,45.66,0.215024091
42,Airpore Old 3,3,9.236,44.954,0.205454465
42,Airpore Medium 1,4,11.243,46.031,0.244248441
45,background,0,6.484,41.48,0.156316297
45,Airpore Old 1,1,9.394,41.978,0.223783887
45,Airpore Old 2,2,9.722,45.355,0.214353434
45,Airpore Old 3,3,9.155,44.782,0.204434818
45,Airpore Medium 1,4,10.842,45.753,0.236968068
48,background,0,6.539,41.752,0.156615252
48,Airpore Old 1,1,9.295,41.903,0.221821827
48,Airpore Old 2,2,9.73,45.962,0.211696619
48,Airpore Old 3,3,9.314,45.27,0.205743318
48,Airpore Medium 1,4,11.017,45.468,0.242302279
51,background,0,6.524,41.741,0.156297166
51,Airpore Old 1,1,9.715,42.338,0.229462894
51,Airpore Old 2,2,9.866,44.94,0.219537161
51,Airpore Old 3,3,9.268,45.395,0.204163454
51,Airpore Medium 1,4,10.676,45.295,0.235699305
54,background,0,6.546,41.364,0.158253554
54,Airpore Old 1,1,9.359,42.202,0.221766741
54,Airpore Old 2,2,9.63,44.94,0.214285714
54,Airpore Old 3,3,9.31,45.122,0.206329507
54,Airpore Medium 1,4,10.483,45.512,0.230334857
57,background,0,6.606,41.685,0.158474271
57,Airpore Old 1,1,9.467,42.263,0.224002082
57,Airpore Old 2,2,9.866,45.115,0.218685581
57,Airpore Old 3,3,9.285,45.137,0.20570707
57,Airpore Medium 1,4,10.23,45.188,0.226387537
60,background,0,6.515,41.699,0.156238759
