Time,ROI_Name,ROI,Mean_Calcium,Mean_Background,Ratio
0,background,0,8.19,55.858,0.146621791
0,Airpore Old 1,1,7.211,69.1,0.104356006
0,Airpore Old 2,2,8.057,63.621,0.126640575
0,Airpore Old 3,3,9.083,46.458,0.195509923
0,Airpore Medium 1,4,5.493,39.455,0.139221898
0,Airpore Medium 2,5,9.184,65.808,0.139557501
3,background,0,8.411,55.964,0.150293046
3,Airpore Old 1,1,7.196,70.051,0.102725157
3,Airpore Old 2,2,8.018,64.201,0.12488902
3,Airpore Old 3,3,8.913,47.216,0.188770756
3,Airpore Medium 1,4,5.599,38.721,0.144598538
3,Airpore Medium 2,5,9.256,65.402,0.141524724
6,background,0,8.488,56.091,0.151325525
6,Airpore Old 1,1,7.232,70.068,0.103214021
6,Airpore Old 2,2,8.312,63.009,0.131917663
6,Airpore Old 3,3,9.169,46.438,0.197446057
6,Airpore Medium 1,4,5.691,37.763,0.150703069
6,Airpore Medium 2,5,9.099,65.421,0.13908378
9,background,0,8.562,55.428,0.154470665
9,Airpore Old 1,1,7.175,68.537,0.104687979
9,Airpore Old 2,2,8.299,62.726,0.132305583
9,Airpore Old 3,3,9.005,46.987,0.191648754
9,Airpore Medium 1,4,5.867,38.424,0.152691026
9,Airpore Medium 2,5,9.417,65.114,0.144623276
12,background,0,8.731,54.943,0.158910143
12,Airpore Old 1,1,7.556,68.574,0.110187535
12,Airpore Old 2,2,8.187,62.042,0.131958996
12,Airpore Old 3,3,9.266,46.345,0.199935268
12,Airpore Medium 1,4,5.87,37.742,0.155529649
12,Airpore Medium 2,5,9.676,64.77,0.14939015
15,background,0,8.693,54.716,0.158874918
15,Airpore Old 1,1,7.64,67.728,0.112804158
15,Airpore Old 2,2,8.519,62.807,0.135637747
15,Airpore Old 3,3,9.218,47.146,0.195520299
15,Airpore Medium 1,4,5.757,37.174,0.154866304
15,Airpore Medium 2,5,9.521,63.928,0.148933175
18,background,0,8.73,54.456,0.160312913
18,Airpore Old 1,1,7.289,67.154,0.108541561
18,Airpore Old 2,2,8.512,61.863,0.137594362
18,Airpore Old 3,3,9.137,46.459,0.19666803
18,Airpore Medium 1,4,5.931,37.797,0.156917216
18,Airpore Medium 2,5,9.743,62.919,0.154849886
21,background,0,8.671,53.912,0.160836177
21,Airpore Old 1,1,7.226,66.524,0.108622452
21,Airpore Old 2,2,8.574,61.397,0.139648517
21,Airpore Old 3,3,9.286,46.468,0.199836447
21,Airpore Medium 1,4,5.691,36.939,0.15406481
21,Airpore Medium 2,5,9.425,63.565,0.148273421
24,background,0,8.614,53.971,0.159604232
24,Airpore Old 1,1,7.456,66.494,0.112130418
24,Airpore Old 2,2,8.29,62.543,0.132548806
24,Airpore Old 3,3,9.285,46.549,0.199467228
24,Airpore Medium 1,4,5.664,37.247,0.152065938
24,Airpore Medium 2,5,9.721,62.985,0.154338335
27,background,0,8.724,53.959,0.161678311
27,Airpore Old 1,1,7.207,67.209,0.107232662
27,Airpore Old 2,2,8.302,61.421,0.135165497
27,Airpore Old 3,3,9.393,46.266,0.203021657
27,Airpore Medium 1,4,5.456,37.113,0.147010482
27,Airpore Medium 2,5,9.509,63.145,0.150589912
30,background,0,8.656,54.061,0.160115425
30,Airpore Old 1,1,7.294,66.283,0.110043299
30,Airpore Old 2,2,8.333,61.1,0.136382979
30,Airpore Old 3,3,9.438,46.957,0.200992397
30,Airpore Medium 1,4,5.71,37.253,0.153276246
30,Airpore Medium 2,5,9.597,63.271,0.151680865
33,background,0,8.571,53.548,0.160062
33,Airpore Old 1,1,7.223,65.472,0.11032197
