Time,ROI_Name,ROI,Mean_Calcium,Mean_Background,Ratio
0,background,0,6.778,38.227,0.177309232
0,Airpore Old 1,1,9.173,33.967,0.270056231
0,Airpore Old 2,2,12.351,45.657,0.270517117
0,Airpore Old 3,3,10.681,46.559,0.229407848
0,Airpore Medium 1,4,8.653,35.84,0.241434152
0,Airpore Medium 2,5,8.739,45.402,0.192480507
0,Airpore young 1,6,9.166,41.905,0.218732848
3,background,0,6.776,38.375,0.17657329
3,Airpore Old 1,1,9.517,34.799,0.27348487
3,Airpore Old 2,2,12.457,45.852,0.271678444
3,Airpore Old 3,3,10.444,47.003,0.222198583
3,Airpore Medium 1,4,8.472,36.734,0.230631023
3,Airpore Medium 2,5,8.716,46.083,0.189136992
3,Airpore young 1,6,9.148,42.585,0.214817424
6,background,0,6.599,38.777,0.170178198
6,Airpore Old 1,1,9.121,34.139,0.267172442
6,Airpore Old 2,2,12.206,45.649,0.267388114
6,Airpore Old 3,3,10.349,46.87,0.220802219
6,Airpore Medium 1,4,8.397,36.397,0.230705827
6,Airpore Medium 2,5,9.082,46.44,0.195564169
6,Airpore young 1,6,9.031,42.733,0.211335502
9,background,0,6.703,38.572,0.173778907
9,Airpore Old 1,1,8.585,34.184,0.251140885
9,Airpore Old 2,2,11.947,45.914,0.260203859
9,Airpore Old 3,3,10.876,46.548,0.233651285
9,Airpore Medium 1,4,7.793,36.106,0.215836703
9,Airpore Medium 2,5,9.272,46.378,0.199922377
9,Airpore young 1,6,9.244,42.877,0.215593442
12,background,0,6.856,38.962,0.175966326
12,Airpore Old 1,1,8.42,34.682,0.242777233
12,Airpore Old 2,2,11.954,46.073,0.259457817
12,Airpore Old 3,3,10.683,46.547,0.229509958
12,Airpore Medium 1,4,7.937,36.706,0.216231679
12,Airpore Medium 2,5,9.412,46.244,0.203529106
12,Airpore young 1,6,9.088,43.126,0.210731345
15,background,0,6.818,38.598,0.176641277
15,Airpore Old 1,1,8.231,34.19,0.240742907
15,Airpore Old 2,2,11.729,46.039,0.254762267
15,Airpore Old 3,3,11.015,47.035,0.234187307
15,Airpore Medium 1,4,7.824,36.456,0.214614878
15,Airpore Medium 2,5,9.795,46.669,0.209882363
15,Airpore young 1,6,9.495,42.054,0.225781139
18,background,0,6.787,38.666,0.175528888
18,Airpore Old 1,1,8.202,34.471,0.237939137
18,Airpore Old 2,2,12.051,45.962,0.262194857
18,Airpore Old 3,3,10.905,46.805,0.232987929
18,Airpore Medium 1,4,7.739,36.643,0.211199956
18,Airpore Medium 2,5,9.891,45.949,0.215260397
18,Airpore young 1,6,9.899,42.7,0.231826698
21,background,0,6.898,38.663,0.17841347
21,Airpore Old 1,1,7.921,34.128,0.232096812
21,Airpore Old 2,2,12.098,45.566,0.265504982
21,Airpore Old 3,3,11.495,46.68,0.246251071
21,Airpore Medium 1,4,7.618,36.562,0.208358405
21,Airpore Medium 2,5,9.456,46.298,0.204242084
21,Airpore young 1,6,9.663,42.586,0.226905556
24,background,0,6.87,37.971,0.18092755
24,Airpore Old 1,1,8.095,34.049,0.237745602
24,Airpore Old 2,2,11.83,45.402,0.260561209
24,Airpore Old 3,3,11.212,46.889,0.239117917
24,Airpore Medium 1,4,7.859,36.474,0.215468553
24,Airpore Medium 2,5,9.309,45.857,0.203000632
24,Airpore young 1,6,9.291,42.507,0.218575764
