 ,Area,Mean,Min,Max,Ch,Frame
1,1896.544,9.173,0,52,1,1
2,1832.281,12.351,0,50,1,1
3,1832.281,10.681,0,43,1,1
4,1832.281,8.653,0,52,1,1
5,1832.281,8.739,0,38,1,1
6,1477.267,9.166,0,44,1,1
7,3181.805,6.778,0,32,1,1
8,1896.544,33.967,0,104,2,1
9,1832.281,45.657,11,142,2,1
10,1832.281,46.559,7,104,2,1
11,1832.281,35.840,3,137,2,1
12,1832.281,45.402,7,134,2,1
13,1477.267,41.905,12,95,2,1
14,3181.805,38.227,3,99,2,1
15,1896.544,9.517,0,39,1,2
16,1832.281,12.457,0,54,1,2
17,1832.281,10.444,0,47,1,2
18,1832.281,8.472,0,39,1,2
19,1832.281,8.716,0,35,1,2
20,1477.267,9.148,0,43,1,2
21,3181.805,6.776,0,32,1,2
22,1896.544,34.799,3,123,2,2
23,1832.281,45.852,7,111,2,2
24,1832.281,47.003,11,180,2,2
25,1832.281,36.734,3,123,2,2
26,1832.281,46.083,12,115,2,2
27,1477.267,42.585,7,95,2,2
28,3181.805,38.375,7,111,2,2
29,1896.544,9.121,0,50,1,3
30,1832.281,12.206,0,51,1,3
31,1832.281,10.349,0,42,1,3
32,1832.281,8.397,0,43,1,3
33,1832.281,9.082,0,42,1,3
34,1477.267,9.031,0,35,1,3
35,3181.805,6.599,0,43,1,3
36,1896.544,34.139,0,99,2,3
37,1832.281,45.649,7,116,2,3
38,1832.281,46.870,7,124,2,3
39,1832.281,36.397,0,108,2,3
40,1832.281,46.440,11,99,2,3
41,1477.267,42.733,7,99,2,3
42,3181.805,38.777,3,104,2,3
43,1896.544,8.585,0,39,1,4
44,1832.281,11.947,0,50,1,4
45,1832.281,10.876,0,43,1,4
46,1832.281,7.793,0,36,1,4
47,1832.281,9.272,0,47,1,4
48,1477.267,9.244,0,56,1,4
49,3181.805,6.703,0,35,1,4
50,1896.544,34.184,3,106,2,4
51,1832.281,45.914,12,120,2,4
52,1832.281,46.548,8,103,2,4
53,1832.281,36.106,3,120,2,4
54,1832.281,46.378,11,120,2,4
55,1477.267,42.877,11,95,2,4
56,3181.805,38.572,3,122,2,4
57,1896.544,8.420,0,46,1,5
58,1832.281,11.954,0,47,1,5
59,1832.281,10.683,0,43,1,5
60,1832.281,7.937,0,39,1,5
61,1832.281,9.412,0,43,1,5
62,1477.267,9.088,0,43,1,5
63,3181.805,6.856,0,44,1,5
64,1896.544,34.682,3,96,2,5
65,1832.281,46.073,11,111,2,5
66,1832.281,46.547,11,110,2,5
67,1832.281,36.706,3,96,2,5
68,1832.281,46.244,11,119,2,5
69,1477.267,43.126,11,104,2,5
70,3181.805,38.962,7,144,2,5
71,1896.544,8.231,0,39,1,6
72,1832.281,11.729,0,46,1,6
73,1832.281,11.015,0,43,1,6
74,1832.281,7.824,0,35,1,6
75,1832.281,9.795,0,45,1,6
76,1477.267,9.495,0,39,1,6
77,3181.805,6.818,0,31,1,6
78,1896.544,34.190,3,111,2,6
79,1832.281,46.039,7,124,2,6
80,1832.281,47.035,7,111,2,6
81,1832.281,36.456,3,111,2,6
82,1832.281,46.669,11,113,2,6
83,1477.267,42.054,12,101,2,6
84,3181.805,38.598,3,112,2,6
85,1896.544,8.202,0,35,1,7
86,1832.281,12.051,0,46,1,7
87,1832.281,10.905,0,55,1,7
88,1832.281,7.739,0,35,1,7
89,1832.281,9.891,0,64,1,7
90,1477.267,9.899,0,58,1,7
91,3181.805,6.787,0,35,1,7
92,1896.544,34.471,0,110,2,7
93,1832.281,45.962,7,127,2,7
94,1832.281,46.805,7,111,2,7
95,1832.281,36.643,0,110,2,7
96,1832.281,45.949,8,131,2,7
97,1477.267,42.700,7,99,2,7
98,3181.805,38.666,3,147,2,7
99,1896.544,7.921,0,28,1,8
100,1832.281,12.098,0,48,1,8
101,1832.281,11.495,0,51,1,8
102,1832.281,7.618,0,27,1,8
103,1832.281,9.456,0,51,1,8
104,1477.267,9.663,0,40,1,8
105,3181.805,6.898,0,31,1,8
106,1896.544,34.128,3,96,2,8
107,1832.281,45.566,11,104,2,8
108,1832.281,46.680,11,115,2,8
109,1832.281,36.562,3,100,2,8
110,1832.281,46.298,11,139,2,8
111,1477.267,42.586,8,118,2,8
112,3181.805,38.663,3,128,2,8
113,1896.544,8.095,0,35,1,9
114,1832.281,11.830,0,59,1,9
115,1832.281,11.212,0,41,1,9
116,1832.281,7.859,0,35,1,9
117,1832.281,9.309,0,43,1,9
118,1477.267,9.291,0,46,1,9
119,3181.805,6.870,0,36,1,9
120,1896.544,34.049,0,100,2,9
121,1832.281,45.402,7,123,2,9
122,1832.281,46.889,7,112,2,9
123,1832.281,36.474,3,104,2,9
124,1832.281,45.857,7,114,2,9
125,1477.267,42.507,11,127,2,9
126,3181.805,37.971,3,112,2,9
127,1896.544,8.041,0,43,1,10
128,1832.281,11.679,0,47,1,10
129,1832.281,10.924,0,39,1,10
130,1832.281,7.910,0,43,1,10
131,1832.281,9.278,0,39,1,10
132,1477.267,9.747,0,47,1,10
133,3181.805,6.866,0,27,1,10
134,1896.544,34.730,0,106,2,10
135,1832.281,45.784,8,108,2,10
136,1832.281,46.670,7,108,2,10
137,1832.281,36.629,0,107,2,10
138,1832.281,45.434,11,111,2,10
139,1477.267,42.085,12,91,2,10
140,3181.805,38.489,3,111,2,10
141,1896.544,8.178,0,40,1,11
142,1832.281,11.662,0,51,1,11
143,1832.281,10.911,0,46,1,11
144,1832.281,7.935,0,40,1,11
145,1832.281,9.026,0,40,1,11
146,1477.267,9.685,0,43,1,11
147,3181.805,6.816,0,31,1,11
148,1896.544,34.408,3,108,2,11
149,1832.281,45.350,7,169,2,11
150,1832.281,46.803,11,123,2,11
151,1832.281,36.234,3,108,2,11
152,1832.281,45.370,11,122,2,11
153,1477.267,42.411,11,155,2,11
154,3181.805,37.953,3,112,2,11
155,1896.544,8.407,0,42,1,12
156,1832.281,11.562,0,47,1,12
157,1832.281,10.743,0,40,1,12
158,1832.281,8.100,0,42,1,12
159,1832.281,8.989,0,35,1,12
160,1477.267,9.537,0,50,1,12
161,3181.805,6.831,0,32,1,12
162,1896.544,34.226,3,112,2,12
163,1832.281,45.092,7,163,2,12
164,1832.281,46.507,11,115,2,12
165,1832.281,36.416,3,112,2,12
166,1832.281,45.346,11,114,2,12
167,1477.267,41.584,7,91,2,12
168,3181.805,38.033,3,135,2,12
169,1896.544,8.447,0,43,1,13
170,1832.281,11.682,0,47,1,13
171,1832.281,11.167,0,46,1,13
172,1832.281,8.200,0,43,1,13
173,1832.281,9.020,0,43,1,13
174,1477.267,9.587,0,43,1,13
175,3181.805,6.801,0,36,1,13
176,1896.544,34.722,0,99,2,13
177,1832.281,45.228,8,120,2,13
178,1832.281,46.866,11,128,2,13
179,1832.281,36.788,3,99,2,13
180,1832.281,45.249,11,99,2,13
181,1477.267,42.184,7,87,2,13
182,3181.805,38.178,0,118,2,13
183,1896.544,7.940,0,43,1,14
184,1832.281,11.682,0,46,1,14
185,1832.281,11.874,0,55,1,14
186,1832.281,7.914,0,43,1,14
187,1832.281,8.966,0,35,1,14
188,1477.267,9.449,0,35,1,14
189,3181.805,6.995,0,31,1,14
190,1896.544,34.421,3,95,2,14
191,1832.281,45.311,8,111,2,14
192,1832.281,46.558,8,116,2,14
193,1832.281,36.561,3,96,2,14
194,1832.281,45.121,11,139,2,14
195,1477.267,42.305,11,100,2,14
196,3181.805,38.286,3,111,2,14
197,1896.544,7.954,0,40,1,15
198,1832.281,11.608,0,46,1,15
199,1832.281,12.262,0,50,1,15
200,1832.281,7.922,0,35,1,15
201,1832.281,8.997,0,80,1,15
202,1477.267,9.423,0,55,1,15
203,3181.805,6.860,0,48,1,15
204,1896.544,34.270,3,96,2,15
205,1832.281,46.086,7,114,2,15
206,1832.281,46.566,7,120,2,15
207,1832.281,36.645,3,96,2,15
208,1832.281,45.625,11,113,2,15
209,1477.267,41.606,11,91,2,15
210,3181.805,38.198,7,116,2,15
211,1896.544,7.732,0,39,1,16
212,1832.281,11.285,0,40,1,16
213,1832.281,12.060,0,54,1,16
214,1832.281,7.527,0,39,1,16
215,1832.281,9.051,0,36,1,16
216,1477.267,9.335,0,35,1,16
217,3181.805,6.823,0,35,1,16
218,1896.544,34.280,3,103,2,16
219,1832.281,45.886,8,126,2,16
220,1832.281,46.806,7,119,2,16
221,1832.281,36.462,3,111,2,16
222,1832.281,45.399,7,109,2,16
223,1477.267,42.537,11,95,2,16
224,3181.805,38.304,3,111,2,16
225,1896.544,7.629,0,39,1,17
226,1832.281,11.659,0,43,1,17
227,1832.281,11.858,0,43,1,17
228,1832.281,7.534,0,39,1,17
229,1832.281,8.947,0,38,1,17
230,1477.267,9.292,0,52,1,17
231,3181.805,6.901,0,31,1,17
232,1896.544,34.757,3,106,2,17
233,1832.281,45.413,11,115,2,17
234,1832.281,46.775,11,115,2,17
235,1832.281,37.079,3,106,2,17
236,1832.281,46.063,7,133,2,17
237,1477.267,42.444,11,103,2,17
238,3181.805,38.349,7,150,2,17
239,1896.544,7.783,0,43,1,18
240,1832.281,11.710,0,63,1,18
241,1832.281,11.808,0,43,1,18
242,1832.281,7.794,0,43,1,18
243,1832.281,9.059,0,43,1,18
244,1477.267,9.586,0,43,1,18
245,3181.805,6.882,0,39,1,18
246,1896.544,34.056,3,109,2,18
247,1832.281,45.708,7,171,2,18
248,1832.281,46.678,7,120,2,18
249,1832.281,36.399,3,118,2,18
250,1832.281,46.074,7,105,2,18
251,1477.267,42.366,7,101,2,18
252,3181.805,38.296,3,112,2,18
253,1896.544,7.738,0,35,1,19
254,1832.281,12.850,0,59,1,19
255,1832.281,12.026,0,67,1,19
256,1832.281,7.842,0,35,1,19
257,1832.281,9.222,0,47,1,19
258,1477.267,9.515,0,35,1,19
259,3181.805,6.841,0,28,1,19
260,1896.544,34.025,0,103,2,19
261,1832.281,45.941,11,112,2,19
262,1832.281,46.805,7,160,2,19
263,1832.281,36.810,0,103,2,19
264,1832.281,45.858,8,158,2,19
265,1477.267,42.241,7,95,2,19
266,3181.805,38.425,7,103,2,19
267,1896.544,7.533,0,38,1,20
268,1832.281,13.323,0,71,1,20
269,1832.281,11.756,0,51,1,20
270,1832.281,7.617,0,32,1,20
271,1832.281,9.518,0,52,1,20
272,1477.267,10.051,0,43,1,20
273,3181.805,6.931,0,31,1,20
274,1896.544,34.171,0,107,2,20
275,1832.281,45.465,7,127,2,20
276,1832.281,46.605,7,105,2,20
277,1832.281,36.332,3,99,2,20
278,1832.281,45.881,12,122,2,20
279,1477.267,42.459,11,108,2,20
280,3181.805,38.113,3,108,2,20
281,1896.544,7.704,0,36,1,21
282,1832.281,13.379,0,81,1,21
283,1832.281,11.444,0,51,1,21
284,1832.281,7.563,0,36,1,21
285,1832.281,9.304,0,46,1,21
286,1477.267,10.404,0,43,1,21
287,3181.805,6.948,0,39,1,21
288,1896.544,33.846,3,95,2,21
289,1832.281,45.698,8,118,2,21
290,1832.281,46.617,15,115,2,21
291,1832.281,36.242,3,99,2,21
292,1832.281,45.942,12,104,2,21
293,1477.267,42.210,7,91,2,21
294,3181.805,38.174,7,130,2,21
295,1896.544,7.773,0,35,1,22
296,1832.281,12.867,0,69,1,22
297,1832.281,11.328,0,47,1,22
298,1832.281,7.803,0,35,1,22
299,1832.281,8.969,0,47,1,22
300,1477.267,10.410,0,43,1,22
301,3181.805,6.857,0,27,1,22
302,1896.544,34.548,0,91,2,22
303,1832.281,45.975,8,124,2,22
304,1832.281,47.119,11,153,2,22
305,1832.281,36.646,0,99,2,22
306,1832.281,45.837,7,102,2,22
307,1477.267,42.768,11,95,2,22
308,3181.805,38.570,3,116,2,22
309,1896.544,7.997,0,36,1,23
310,1832.281,12.907,0,59,1,23
311,1832.281,11.401,0,63,1,23
312,1832.281,7.927,0,36,1,23
313,1832.281,9.030,0,46,1,23
314,1477.267,10.579,0,50,1,23
315,3181.805,6.885,0,32,1,23
316,1896.544,34.559,0,92,2,23
317,1832.281,45.456,11,124,2,23
318,1832.281,46.527,11,106,2,23
319,1832.281,36.742,0,115,2,23
320,1832.281,45.553,11,106,2,23
321,1477.267,42.126,11,100,2,23
322,3181.805,38.197,3,105,2,23
323,1896.544,8.103,0,36,1,24
324,1832.281,13.062,0,82,1,24
325,1832.281,11.304,0,43,1,24
326,1832.281,8.070,0,36,1,24
327,1832.281,8.831,0,39,1,24
328,1477.267,10.692,0,53,1,24
329,3181.805,6.983,0,31,1,24
330,1896.544,35.014,0,100,2,24
331,1832.281,45.418,11,104,2,24
332,1832.281,47.366,3,123,2,24
333,1832.281,37.388,3,109,2,24
334,1832.281,45.686,11,108,2,24
335,1477.267,41.982,11,104,2,24
336,3181.805,38.553,3,96,2,24
337,1896.544,8.441,0,35,1,25
338,1832.281,12.441,0,51,1,25
339,1832.281,11.018,0,43,1,25
340,1832.281,8.298,0,35,1,25
341,1832.281,8.710,0,35,1,25
342,1477.267,11.320,0,62,1,25
343,3181.805,6.907,0,32,1,25
344,1896.544,34.476,3,104,2,25
345,1832.281,45.838,7,123,2,25
346,1832.281,46.435,11,107,2,25
347,1832.281,36.829,3,111,2,25
348,1832.281,45.633,11,133,2,25
349,1477.267,42.082,7,101,2,25
350,3181.805,37.753,3,107,2,25
351,1896.544,8.217,0,60,1,26
352,1832.281,12.518,0,54,1,26
353,1832.281,11.163,0,46,1,26
354,1832.281,8.189,0,60,1,26
355,1832.281,8.494,0,36,1,26
356,1477.267,10.708,0,51,1,26
357,3181.805,6.959,0,35,1,26
358,1896.544,34.688,3,107,2,26
359,1832.281,45.251,11,128,2,26
360,1832.281,46.215,11,111,2,26
361,1832.281,36.773,3,100,2,26
362,1832.281,45.282,11,155,2,26
363,1477.267,42.481,11,96,2,26
364,3181.805,37.860,0,133,2,26
365,1896.544,8.055,0,35,1,27
366,1832.281,12.030,0,54,1,27
367,1832.281,10.903,0,43,1,27
368,1832.281,8.057,0,35,1,27
369,1832.281,8.602,0,43,1,27
370,1477.267,10.697,0,50,1,27
371,3181.805,7.149,0,47,1,27
372,1896.544,34.661,0,111,2,27
373,1832.281,44.920,7,119,2,27
374,1832.281,46.537,3,104,2,27
375,1832.281,37.037,3,111,2,27
376,1832.281,45.885,11,124,2,27
377,1477.267,41.741,11,96,2,27
378,3181.805,38.283,0,107,2,27
379,1896.544,7.814,0,31,1,28
380,1832.281,11.729,0,55,1,28
381,1832.281,11.010,0,43,1,28
382,1832.281,7.902,0,31,1,28
383,1832.281,8.736,0,40,1,28
384,1477.267,9.827,0,46,1,28
385,3181.805,6.885,0,32,1,28
386,1896.544,34.288,3,116,2,28
387,1832.281,45.272,7,138,2,28
388,1832.281,46.314,7,138,2,28
389,1832.281,36.786,3,116,2,28
390,1832.281,45.722,11,135,2,28
391,1477.267,41.782,11,133,2,28
392,3181.805,37.890,7,132,2,28
393,1896.544,8.001,0,34,1,29
394,1832.281,11.786,0,40,1,29
395,1832.281,11.012,0,51,1,29
396,1832.281,8.016,0,34,1,29
397,1832.281,8.778,0,31,1,29
398,1477.267,9.675,0,43,1,29
399,3181.805,7.175,0,50,1,29
400,1896.544,34.783,3,123,2,29
401,1832.281,45.172,8,123,2,29
402,1832.281,46.624,11,143,2,29
403,1832.281,37.178,3,123,2,29
404,1832.281,45.245,7,110,2,29
405,1477.267,42.276,7,103,2,29
406,3181.805,37.981,0,111,2,29
407,1896.544,8.158,0,41,1,30
408,1832.281,11.970,0,40,1,30
409,1832.281,10.755,0,42,1,30
410,1832.281,8.145,0,41,1,30
411,1832.281,8.658,0,43,1,30
412,1477.267,10.031,0,43,1,30
413,3181.805,7.155,0,32,1,30
414,1896.544,34.425,0,109,2,30
415,1832.281,45.288,7,119,2,30
416,1832.281,46.447,11,102,2,30
417,1832.281,36.328,0,109,2,30
418,1832.281,45.691,11,111,2,30
419,1477.267,42.394,11,147,2,30
420,3181.805,38.298,3,106,2,30
421,1896.544,8.248,0,42,1,31
422,1832.281,11.869,0,43,1,31
423,1832.281,10.927,0,40,1,31
424,1832.281,8.289,0,42,1,31
425,1832.281,8.448,0,42,1,31
426,1477.267,10.295,0,55,1,31
427,3181.805,7.190,0,31,1,31
428,1896.544,34.378,3,102,2,31
