 ,Area,Mean,Min,Max,Ch,Frame
1,1068.017,9.220,0,50,1,1
2,1068.017,10.049,0,50,1,1
3,1068.017,9.176,0,39,1,1
4,1068.017,10.060,0,46,1,1
5,2248.080,6.270,0,35,1,1
6,1068.017,44.539,7,127,2,1
7,1068.017,48.239,7,121,2,1
8,1068.017,47.683,11,118,2,1
9,1068.017,48.065,7,235,2,1
10,2248.080,43.931,3,255,2,1
11,1068.017,9.384,0,46,1,2
12,1068.017,10.019,0,39,1,2
13,1068.017,9.259,0,41,1,2
14,1068.017,10.212,0,46,1,2
15,2248.080,6.540,0,35,1,2
16,1068.017,44.043,7,149,2,2
17,1068.017,48.305,11,131,2,2
18,1068.017,47.376,3,108,2,2
19,1068.017,48.047,8,124,2,2
20,2248.080,43.521,3,132,2,2
21,1068.017,9.529,0,46,1,3
22,1068.017,9.923,0,39,1,3
23,1068.017,9.650,0,42,1,3
24,1068.017,10.401,0,61,1,3
25,2248.080,6.587,0,40,1,3
26,1068.017,44.488,3,119,2,3
27,1068.017,48.108,12,113,2,3
28,1068.017,47.560,3,111,2,3
29,1068.017,47.404,7,128,2,3
30,2248.080,43.503,3,222,2,3
31,1068.017,9.431,0,74,1,4
32,1068.017,9.993,0,42,1,4
33,1068.017,9.328,0,52,1,4
34,1068.017,10.459,0,51,1,4
35,2248.080,6.597,0,40,1,4
36,1068.017,43.769,11,99,2,4
37,1068.017,47.622,11,245,2,4
38,1068.017,46.053,7,115,2,4
39,1068.017,47.555,7,135,2,4
40,2248.080,43.139,3,130,2,4
41,1068.017,9.336,0,43,1,5
42,1068.017,10.384,0,55,1,5
43,1068.017,9.413,0,44,1,5
44,1068.017,10.191,0,46,1,5
45,2248.080,6.545,0,35,1,5
46,1068.017,43.315,7,103,2,5
47,1068.017,46.957,11,129,2,5
48,1068.017,45.952,3,116,2,5
49,1068.017,46.272,11,122,2,5
50,2248.080,42.169,3,118,2,5
51,1068.017,9.336,0,47,1,6
52,1068.017,10.131,0,40,1,6
53,1068.017,9.484,0,39,1,6
54,1068.017,10.388,0,63,1,6
55,2248.080,6.472,0,38,1,6
56,1068.017,42.509,11,103,2,6
57,1068.017,46.243,7,156,2,6
58,1068.017,45.573,8,255,2,6
59,1068.017,46.867,11,173,2,6
60,2248.080,41.782,3,108,2,6
61,1068.017,9.509,0,50,1,7
62,1068.017,10.048,0,46,1,7
63,1068.017,9.401,0,46,1,7
64,1068.017,10.683,0,43,1,7
65,2248.080,6.470,0,35,1,7
66,1068.017,42.317,11,124,2,7
67,1068.017,46.503,7,111,2,7
68,1068.017,45.772,3,122,2,7
69,1068.017,45.951,7,118,2,7
70,2248.080,41.783,3,119,2,7
71,1068.017,9.723,0,46,1,8
72,1068.017,9.958,0,46,1,8
73,1068.017,9.286,0,39,1,8
74,1068.017,10.324,0,43,1,8
75,2248.080,6.640,0,35,1,8
76,1068.017,42.962,3,112,2,8
77,1068.017,46.312,7,136,2,8
78,1068.017,46.392,8,133,2,8
79,1068.017,46.100,3,119,2,8
80,2248.080,42.223,3,255,2,8
