"Time","ROIName","ROI","Mean_Calcium","Mean_Background","Ratio"
0,"background",0,8.19,55.858,0.14662179096996
0,"Airpore Old 1",1,7.211,69.1,0.104356005788712
0,"Airpore Old 2",2,8.057,63.621,0.126640574653023
0,"Airpore Old 3",3,9.083,46.458,0.195509922941151
0,"Airpore Medium 1",4,5.493,39.455,0.139221898365226
0,"Airpore Medium 2",5,9.184,65.808,0.139557500607829
3,"background",0,8.411,55.964,0.150293045529269
3,"Airpore Old 1",1,7.196,70.051,0.102725157385334
3,"Airpore Old 2",2,8.018,64.201,0.124889020420243
3,"Airpore Old 3",3,8.913,47.216,0.188770755676042
3,"Airpore Medium 1",4,5.599,38.721,0.144598538260892
3,"Airpore Medium 2",5,9.256,65.402,0.141524724014556
6,"background",0,8.488,56.091,0.151325524593963
6,"Airpore Old 1",1,7.232,70.068,0.103214020665639
6,"Airpore Old 2",2,8.312,63.009,0.131917662556143
6,"Airpore Old 3",3,9.169,46.438,0.197446057108403
6,"Airpore Medium 1",4,5.691,37.763,0.150703069141753
6,"Airpore Medium 2",5,9.099,65.421,0.139083780437474
9,"background",0,8.562,55.428,0.154470664646027
9,"Airpore Old 1",1,7.175,68.537,0.104687978756
9,"Airpore Old 2",2,8.299,62.726,0.132305583011829
9,"Airpore Old 3",3,9.005,46.987,0.191648753910656
9,"Airpore Medium 1",4,5.867,38.424,0.152691026441807
9,"Airpore Medium 2",5,9.417,65.114,0.144623276100378
12,"background",0,8.731,54.943,0.158910143239357
12,"Airpore Old 1",1,7.556,68.574,0.110187534634118
12,"Airpore Old 2",2,8.187,62.042,0.131958995519164
12,"Airpore Old 3",3,9.266,46.345,0.199935268097961
12,"Airpore Medium 1",4,5.87,37.742,0.155529648667267
12,"Airpore Medium 2",5,9.676,64.77,0.149390149760692
15,"background",0,8.693,54.716,0.158874917757146
15,"Airpore Old 1",1,7.64,67.728,0.112804157807701
15,"Airpore Old 2",2,8.519,62.807,0.135637747384846
15,"Airpore Old 3",3,9.218,47.146,0.195520298646757
15,"Airpore Medium 1",4,5.757,37.174,0.154866304406305
15,"Airpore Medium 2",5,9.521,63.928,0.148933174821674
18,"background",0,8.73,54.456,0.160312913177611
18,"Airpore Old 1",1,7.289,67.154,0.108541561187718
18,"Airpore Old 2",2,8.512,61.863,0.137594361734801
18,"Airpore Old 3",3,9.137,46.459,0.196668029875804
18,"Airpore Medium 1",4,5.931,37.797,0.156917215652036
