"","Time","ROIName","ROI","Mean_Calcium","Mean_Background","Ratio"
"1",0,"background",0,6.27,43.931,0.142723816894676
"2",0,"Airpore Old 1",1,9.22,44.539,0.207009587103437
"3",0,"Airpore Old 2",2,10.049,48.239,0.208316921992579
"4",0,"Airpore Old 3",3,9.176,47.683,0.192437556361806
"5",0,"Airpore Medium 1",4,10.06,48.065,0.209299906376781
"6",3,"background",0,6.54,43.521,0.150272282346453
"7",3,"Airpore Old 1",1,9.384,44.043,0.213064505142701
"8",3,"Airpore Old 2",2,10.019,48.305,0.207411241072353
"9",3,"Airpore Old 3",3,9.259,47.376,0.195436507936508
"10",3,"Airpore Medium 1",4,10.212,48.047,0.21254188606989
"11",6,"background",0,6.587,43.503,0.151414844953222
"12",6,"Airpore Old 1",1,9.529,44.488,0.214192591260565
"13",6,"Airpore Old 2",2,9.923,48.108,0.206265070258585
"14",6,"Airpore Old 3",3,9.65,47.56,0.202901597981497
"15",6,"Airpore Medium 1",4,10.401,47.404,0.219411863977723
"16",9,"background",0,6.597,43.139,0.152924268063701
"17",9,"Airpore Old 1",1,9.431,43.769,0.215472137814435
"18",9,"Airpore Old 2",2,9.993,47.622,0.209839989920625
"19",9,"Airpore Old 3",3,9.328,46.053,0.202549236748963
"20",9,"Airpore Medium 1",4,10.459,47.555,0.219934812322574
"21",12,"background",0,6.545,42.169,0.155208802674951
"22",12,"Airpore Old 1",1,9.336,43.315,0.215537342721921
"23",12,"Airpore Old 2",2,10.384,46.957,0.221138488404285
"24",12,"Airpore Old 3",3,9.413,45.952,0.204844185236769
"25",12,"Airpore Medium 1",4,10.191,46.272,0.220241182572614
"26",15,"background",0,6.472,41.782,0.154899238906706
"27",15,"Airpore Old 1",1,9.336,42.509,0.219624079606672
"28",15,"Airpore Old 2",2,10.131,46.243,0.219081806976191
"29",15,"Airpore Old 3",3,9.484,45.573,0.208105676606763
"30",15,"Airpore Medium 1",4,10.388,46.867,0.221648494676425
"31",18,"background",0,6.47,41.783,0.154847665318431
