"ROI","Area","Mean","Min","Max","Channel","Frame","Time","SensorName","ROIName"
1,1896.544,9.173,0,52,1,1,0,"GFP","Airpore Old 1"
2,1832.281,12.351,0,50,1,1,0,"GFP","Airpore Old 2"
3,1832.281,10.681,0,43,1,1,0,"GFP","Airpore Old 3"
4,1832.281,8.653,0,52,1,1,0,"GFP","Airpore Medium 1"
5,1832.281,8.739,0,38,1,1,0,"GFP","Airpore Medium 2"
6,1477.267,9.166,0,44,1,1,0,"GFP","Airpore young 1"
7,3181.805,6.778,0,32,1,1,0,"GFP","background"
1,1896.544,33.967,0,104,2,1,0,"RFP","Airpore Old 1"
2,1832.281,45.657,11,142,2,1,0,"RFP","Airpore Old 2"
3,1832.281,46.559,7,104,2,1,0,"RFP","Airpore Old 3"
4,1832.281,35.84,3,137,2,1,0,"RFP","Airpore Medium 1"
5,1832.281,45.402,7,134,2,1,0,"RFP","Airpore Medium 2"
6,1477.267,41.905,12,95,2,1,0,"RFP","Airpore young 1"
7,3181.805,38.227,3,99,2,1,0,"RFP","background"
1,1896.544,9.517,0,39,1,2,3,"GFP","Airpore Old 1"
2,1832.281,12.457,0,54,1,2,3,"GFP","Airpore Old 2"
3,1832.281,10.444,0,47,1,2,3,"GFP","Airpore Old 3"
4,1832.281,8.472,0,39,1,2,3,"GFP","Airpore Medium 1"
5,1832.281,8.716,0,35,1,2,3,"GFP","Airpore Medium 2"
6,1477.267,9.148,0,43,1,2,3,"GFP","Airpore young 1"
7,3181.805,6.776,0,32,1,2,3,"GFP","background"
1,1896.544,34.799,3,123,2,2,3,"RFP","Airpore Old 1"
2,1832.281,45.852,7,111,2,2,3,"RFP","Airpore Old 2"
3,1832.281,47.003,11,180,2,2,3,"RFP","Airpore Old 3"
4,1832.281,36.734,3,123,2,2,3,"RFP","Airpore Medium 1"
5,1832.281,46.083,12,115,2,2,3,"RFP","Airpore Medium 2"
6,1477.267,42.585,7,95,2,2,3,"RFP","Airpore young 1"
7,3181.805,38.375,7,111,2,2,3,"RFP","background"
1,1896.544,9.121,0,50,1,3,6,"GFP","Airpore Old 1"
2,1832.281,12.206,0,51,1,3,6,"GFP","Airpore Old 2"
3,1832.281,10.349,0,42,1,3,6,"GFP","Airpore Old 3"
4,1832.281,8.397,0,43,1,3,6,"GFP","Airpore Medium 1"
5,1832.281,9.082,0,42,1,3,6,"GFP","Airpore Medium 2"
6,1477.267,9.031,0,35,1,3,6,"GFP","Airpore young 1"
7,3181.805,6.599,0,43,1,3,6,"GFP","background"
1,1896.544,34.139,0,99,2,3,6,"RFP","Airpore Old 1"
2,1832.281,45.649,7,116,2,3,6,"RFP","Airpore Old 2"
3,1832.281,46.87,7,124,2,3,6,"RFP","Airpore Old 3"
4,1832.281,36.397,0,108,2,3,6,"RFP","Airpore Medium 1"
5,1832.281,46.44,11,99,2,3,6,"RFP","Airpore Medium 2"
6,1477.267,42.733,7,99,2,3,6,"RFP","Airpore young 1"
7,3181.805,38.777,3,104,2,3,6,"RFP","background"
1,1896.544,8.585,0,39,1,4,9,"GFP","Airpore Old 1"
2,1832.281,11.947,0,50,1,4,9,"GFP","Airpore Old 2"
3,1832.281,10.876,0,43,1,4,9,"GFP","Airpore Old 3"
4,1832.281,7.793,0,36,1,4,9,"GFP","Airpore Medium 1"
5,1832.281,9.272,0,47,1,4,9,"GFP","Airpore Medium 2"
6,1477.267,9.244,0,56,1,4,9,"GFP","Airpore young 1"
7,3181.805,6.703,0,35,1,4,9,"GFP","background"
1,1896.544,34.184,3,106,2,4,9,"RFP","Airpore Old 1"
2,1832.281,45.914,12,120,2,4,9,"RFP","Airpore Old 2"
3,1832.281,46.548,8,103,2,4,9,"RFP","Airpore Old 3"
4,1832.281,36.106,3,120,2,4,9,"RFP","Airpore Medium 1"
5,1832.281,46.378,11,120,2,4,9,"RFP","Airpore Medium 2"
6,1477.267,42.877,11,95,2,4,9,"RFP","Airpore young 1"
7,3181.805,38.572,3,122,2,4,9,"RFP","background"
1,1896.544,8.42,0,46,1,5,12,"GFP","Airpore Old 1"
2,1832.281,11.954,0,47,1,5,12,"GFP","Airpore Old 2"
3,1832.281,10.683,0,43,1,5,12,"GFP","Airpore Old 3"
4,1832.281,7.937,0,39,1,5,12,"GFP","Airpore Medium 1"
5,1832.281,9.412,0,43,1,5,12,"GFP","Airpore Medium 2"
6,1477.267,9.088,0,43,1,5,12,"GFP","Airpore young 1"
7,3181.805,6.856,0,44,1,5,12,"GFP","background"
1,1896.544,34.682,3,96,2,5,12,"RFP","Airpore Old 1"
2,1832.281,46.073,11,111,2,5,12,"RFP","Airpore Old 2"
3,1832.281,46.547,11,110,2,5,12,"RFP","Airpore Old 3"
4,1832.281,36.706,3,96,2,5,12,"RFP","Airpore Medium 1"
5,1832.281,46.244,11,119,2,5,12,"RFP","Airpore Medium 2"
6,1477.267,43.126,11,104,2,5,12,"RFP","Airpore young 1"
7,3181.805,38.962,7,144,2,5,12,"RFP","background"
1,1896.544,8.231,0,39,1,6,15,"GFP","Airpore Old 1"
2,1832.281,11.729,0,46,1,6,15,"GFP","Airpore Old 2"
3,1832.281,11.015,0,43,1,6,15,"GFP","Airpore Old 3"
4,1832.281,7.824,0,35,1,6,15,"GFP","Airpore Medium 1"
5,1832.281,9.795,0,45,1,6,15,"GFP","Airpore Medium 2"
6,1477.267,9.495,0,39,1,6,15,"GFP","Airpore young 1"
7,3181.805,6.818,0,31,1,6,15,"GFP","background"
1,1896.544,34.19,3,111,2,6,15,"RFP","Airpore Old 1"
2,1832.281,46.039,7,124,2,6,15,"RFP","Airpore Old 2"
3,1832.281,47.035,7,111,2,6,15,"RFP","Airpore Old 3"
4,1832.281,36.456,3,111,2,6,15,"RFP","Airpore Medium 1"
5,1832.281,46.669,11,113,2,6,15,"RFP","Airpore Medium 2"
6,1477.267,42.054,12,101,2,6,15,"RFP","Airpore young 1"
7,3181.805,38.598,3,112,2,6,15,"RFP","background"
1,1896.544,8.202,0,35,1,7,18,"GFP","Airpore Old 1"
2,1832.281,12.051,0,46,1,7,18,"GFP","Airpore Old 2"
3,1832.281,10.905,0,55,1,7,18,"GFP","Airpore Old 3"
4,1832.281,7.739,0,35,1,7,18,"GFP","Airpore Medium 1"
5,1832.281,9.891,0,64,1,7,18,"GFP","Airpore Medium 2"
6,1477.267,9.899,0,58,1,7,18,"GFP","Airpore young 1"
7,3181.805,6.787,0,35,1,7,18,"GFP","background"
1,1896.544,34.471,0,110,2,7,18,"RFP","Airpore Old 1"
2,1832.281,45.962,7,127,2,7,18,"RFP","Airpore Old 2"
3,1832.281,46.805,7,111,2,7,18,"RFP","Airpore Old 3"
4,1832.281,36.643,0,110,2,7,18,"RFP","Airpore Medium 1"
5,1832.281,45.949,8,131,2,7,18,"RFP","Airpore Medium 2"
6,1477.267,42.7,7,99,2,7,18,"RFP","Airpore young 1"
7,3181.805,38.666,3,147,2,7,18,"RFP","background"
1,1896.544,7.921,0,28,1,8,21,"GFP","Airpore Old 1"
2,1832.281,12.098,0,48,1,8,21,"GFP","Airpore Old 2"
3,1832.281,11.495,0,51,1,8,21,"GFP","Airpore Old 3"
4,1832.281,7.618,0,27,1,8,21,"GFP","Airpore Medium 1"
5,1832.281,9.456,0,51,1,8,21,"GFP","Airpore Medium 2"
6,1477.267,9.663,0,40,1,8,21,"GFP","Airpore young 1"
7,3181.805,6.898,0,31,1,8,21,"GFP","background"
1,1896.544,34.128,3,96,2,8,21,"RFP","Airpore Old 1"
2,1832.281,45.566,11,104,2,8,21,"RFP","Airpore Old 2"
3,1832.281,46.68,11,115,2,8,21,"RFP","Airpore Old 3"
4,1832.281,36.562,3,100,2,8,21,"RFP","Airpore Medium 1"
5,1832.281,46.298,11,139,2,8,21,"RFP","Airpore Medium 2"
6,1477.267,42.586,8,118,2,8,21,"RFP","Airpore young 1"
7,3181.805,38.663,3,128,2,8,21,"RFP","background"
1,1896.544,8.095,0,35,1,9,24,"GFP","Airpore Old 1"
