"","Time","ROIName","ROI","Mean_Calcium","Mean_Background","Ratio"
"1",0,"background",0,6.778,38.227,0.177309231694875
"2",0,"Airpore Old 1",1,9.173,33.967,0.270056231047782
"3",0,"Airpore Old 2",2,12.351,45.657,0.270517116761942
"4",0,"Airpore Old 3",3,10.681,46.559,0.229407848106703
"5",0,"Airpore Medium 1",4,8.653,35.84,0.241434151785714
"6",0,"Airpore Medium 2",5,8.739,45.402,0.192480507466631
"7",0,"Airpore young 1",6,9.166,41.905,0.218732848108818
"8",3,"background",0,6.776,38.375,0.17657328990228
"9",3,"Airpore Old 1",1,9.517,34.799,0.273484870254892
"10",3,"Airpore Old 2",2,12.457,45.852,0.271678443688389
"11",3,"Airpore Old 3",3,10.444,47.003,0.222198583069166
"12",3,"Airpore Medium 1",4,8.472,36.734,0.230631023030435
"13",3,"Airpore Medium 2",5,8.716,46.083,0.189136991949309
"14",3,"Airpore young 1",6,9.148,42.585,0.214817423975578
"15",6,"background",0,6.599,38.777,0.170178198416587
"16",6,"Airpore Old 1",1,9.121,34.139,0.267172442075046
"17",6,"Airpore Old 2",2,12.206,45.649,0.267388113649806
"18",6,"Airpore Old 3",3,10.349,46.87,0.22080221890335
"19",6,"Airpore Medium 1",4,8.397,36.397,0.230705827403357
"20",6,"Airpore Medium 2",5,9.082,46.44,0.195564168819983
"21",6,"Airpore young 1",6,9.031,42.733,0.211335501836988
"22",9,"background",0,6.703,38.572,0.173778906979156
"23",9,"Airpore Old 1",1,8.585,34.184,0.251140884624386
"24",9,"Airpore Old 2",2,11.947,45.914,0.260203859389293
"25",9,"Airpore Old 3",3,10.876,46.548,0.233651284695368
"26",9,"Airpore Medium 1",4,7.793,36.106,0.215836703041046
"27",9,"Airpore Medium 2",5,9.272,46.378,0.19992237698909
"28",9,"Airpore young 1",6,9.244,42.877,0.215593441705343
"29",12,"background",0,6.856,38.962,0.175966326163955
"30",12,"Airpore Old 1",1,8.42,34.682,0.242777233146877
"31",12,"Airpore Old 2",2,11.954,46.073,0.259457816942678
"32",12,"Airpore Old 3",3,10.683,46.547,0.229509957677187
"33",12,"Airpore Medium 1",4,7.937,36.706,0.216231678744619
"34",12,"Airpore Medium 2",5,9.412,46.244,0.203529106478678
"35",12,"Airpore young 1",6,9.088,43.126,0.210731345360108
"36",15,"background",0,6.818,38.598,0.176641276750091
"37",15,"Airpore Old 1",1,8.231,34.19,0.240742907282831
"38",15,"Airpore Old 2",2,11.729,46.039,0.254762266773822
"39",15,"Airpore Old 3",3,11.015,47.035,0.234187307324333
"40",15,"Airpore Medium 1",4,7.824,36.456,0.214614878209348
"41",15,"Airpore Medium 2",5,9.795,46.669,0.209882363024706
"42",15,"Airpore young 1",6,9.495,42.054,0.225781138536168
"43",18,"background",0,6.787,38.666,0.175528888429111
"44",18,"Airpore Old 1",1,8.202,34.471,0.237939137245801
"45",18,"Airpore Old 2",2,12.051,45.962,0.262194856620687
"46",18,"Airpore Old 3",3,10.905,46.805,0.232987928640103
"47",18,"Airpore Medium 1",4,7.739,36.643,0.211199956335453
"48",18,"Airpore Medium 2",5,9.891,45.949,0.215260397397114
"49",18,"Airpore young 1",6,9.899,42.7,0.231826697892272
"50",21,"background",0,6.898,38.663,0.178413470242868
"51",21,"Airpore Old 1",1,7.921,34.128,0.232096812001875
"52",21,"Airpore Old 2",2,12.098,45.566,0.265504981784664
"53",21,"Airpore Old 3",3,11.495,46.68,0.246251071122536
"54",21,"Airpore Medium 1",4,7.618,36.562,0.208358404901264
"55",21,"Airpore Medium 2",5,9.456,46.298,0.204242083891313
"56",21,"Airpore young 1",6,9.663,42.586,0.226905555816466
"57",24,"background",0,6.87,37.971,0.180927549972347
"58",24,"Airpore Old 1",1,8.095,34.049,0.237745601926635
"59",24,"Airpore Old 2",2,11.83,45.402,0.260561208757323
"60",24,"Airpore Old 3",3,11.212,46.889,0.239117916782188
"61",24,"Airpore Medium 1",4,7.859,36.474,0.215468552941822
"62",24,"Airpore Medium 2",5,9.309,45.857,0.203000632400724
"63",24,"Airpore young 1",6,9.291,42.507,0.218575763991813
"64",27,"background",0,6.866,38.489,0.17838863051781
"65",27,"Airpore Old 1",1,8.041,34.73,0.231528937517996
"66",27,"Airpore Old 2",2,11.679,45.784,0.255089114100996
"67",27,"Airpore Old 3",3,10.924,46.67,0.234068995071781
"68",27,"Airpore Medium 1",4,7.91,36.629,0.215949111359852
"69",27,"Airpore Medium 2",5,9.278,45.434,0.204208302152573
"70",27,"Airpore young 1",6,9.747,42.085,0.231602708803612
"71",30,"background",0,6.816,37.953,0.179590546201881
"72",30,"Airpore Old 1",1,8.178,34.408,0.237677284352476
"73",30,"Airpore Old 2",2,11.662,45.35,0.25715545755237
"74",30,"Airpore Old 3",3,10.911,46.803,0.233126081661432
"75",30,"Airpore Medium 1",4,7.935,36.234,0.218993210796489
"76",30,"Airpore Medium 2",5,9.026,45.37,0.198942032179855
"77",30,"Airpore young 1",6,9.685,42.411,0.228360566834076
"78",33,"background",0,6.831,38.033,0.179607183235611
"79",33,"Airpore Old 1",1,8.407,34.226,0.245631975690995
"80",33,"Airpore Old 2",2,11.562,45.092,0.256409119134214
"81",33,"Airpore Old 3",3,10.743,46.507,0.230997484249683
"82",33,"Airpore Medium 1",4,8.1,36.416,0.222429701230228
"83",33,"Airpore Medium 2",5,8.989,45.346,0.198231376527147
"84",33,"Airpore young 1",6,9.537,41.584,0.229343016544825
"85",36,"background",0,6.801,38.178,0.178139242495678
"86",36,"Airpore Old 1",1,8.447,34.722,0.243275156961005
"87",36,"Airpore Old 2",2,11.682,45.228,0.25829132395861
"88",36,"Airpore Old 3",3,11.167,46.866,0.238275082149106
"89",36,"Airpore Medium 1",4,8.2,36.788,0.22289877133848
"90",36,"Airpore Medium 2",5,9.02,45.249,0.199341421909876
"91",36,"Airpore young 1",6,9.587,42.184,0.227266262089892
"92",39,"background",0,6.995,38.286,0.182703860418952
"93",39,"Airpore Old 1",1,7.94,34.421,0.230673135585834
"94",39,"Airpore Old 2",2,11.682,45.311,0.257818189843526
"95",39,"Airpore Old 3",3,11.874,46.558,0.255036728381803
"96",39,"Airpore Medium 1",4,7.914,36.561,0.216460162468204
"97",39,"Airpore Medium 2",5,8.966,45.121,0.198710134970413
"98",39,"Airpore young 1",6,9.449,42.305,0.223354213449947
"99",42,"background",0,6.86,38.198,0.179590554479292
"100",42,"Airpore Old 1",1,7.954,34.27,0.232098044937263
"101",42,"Airpore Old 2",2,11.608,46.086,0.251876925747516
"102",42,"Airpore Old 3",3,12.262,46.566,0.263325172872912
"103",42,"Airpore Medium 1",4,7.922,36.645,0.216182289534725
"104",42,"Airpore Medium 2",5,8.997,45.625,0.197194520547945
"105",42,"Airpore young 1",6,9.423,41.606,0.226481757438831
"106",45,"background",0,6.823,38.304,0.1781276106934
"107",45,"Airpore Old 1",1,7.732,34.28,0.225554259043174
"108",45,"Airpore Old 2",2,11.285,45.886,0.24593557947958
"109",45,"Airpore Old 3",3,12.06,46.806,0.257659274451993
"110",45,"Airpore Medium 1",4,7.527,36.462,0.20643409577094
"111",45,"Airpore Medium 2",5,9.051,45.399,0.199365624793498
"112",45,"Airpore young 1",6,9.335,42.537,0.219456003009145
"113",48,"background",0,6.901,38.349,0.179952541135362
"114",48,"Airpore Old 1",1,7.629,34.757,0.21949535345398
"115",48,"Airpore Old 2",2,11.659,45.413,0.256732653645432
"116",48,"Airpore Old 3",3,11.858,46.775,0.253511491181187
"117",48,"Airpore Medium 1",4,7.534,37.079,0.203187788235929
"118",48,"Airpore Medium 2",5,8.947,46.063,0.194233983891627
"119",48,"Airpore young 1",6,9.292,42.444,0.218923758363962
"120",51,"background",0,6.882,38.296,0.179705452266555
"121",51,"Airpore Old 1",1,7.783,34.056,0.228535353535354
"122",51,"Airpore Old 2",2,11.71,45.708,0.256191476327995
"123",51,"Airpore Old 3",3,11.808,46.678,0.252967136552552
"124",51,"Airpore Medium 1",4,7.794,36.399,0.214126761724223
"125",51,"Airpore Medium 2",5,9.059,46.074,0.196618483309459
"126",51,"Airpore young 1",6,9.586,42.366,0.226266345654534
"127",54,"background",0,6.841,38.425,0.178035133376708
"128",54,"Airpore Old 1",1,7.738,34.025,0.227421013960323
"129",54,"Airpore Old 2",2,12.85,45.941,0.279706580178925
"130",54,"Airpore Old 3",3,12.026,46.805,0.256938361286187
"131",54,"Airpore Medium 1",4,7.842,36.81,0.213039934800326
"132",54,"Airpore Medium 2",5,9.222,45.858,0.201099044877666
"133",54,"Airpore young 1",6,9.515,42.241,0.225255083923203
"134",57,"background",0,6.931,38.113,0.181853960590874
"135",57,"Airpore Old 1",1,7.533,34.171,0.220450089256972
"136",57,"Airpore Old 2",2,13.323,45.465,0.293038601121742
