"Sample","Time","ROI_Name","Mean_Calcium","Mean_Background","Ratio","File_Name"
"cngc3",0,"background",8.19,55.858,0.146621791,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",0,"Airpore Old 1",7.211,69.1,0.104356006,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",0,"Airpore Old 2",8.057,63.621,0.126640575,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",0,"Airpore Old 3",9.083,46.458,0.195509923,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",0,"Airpore Medium 1",5.493,39.455,0.139221898,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",0,"Airpore Medium 2",9.184,65.808,0.139557501,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",3,"background",8.411,55.964,0.150293046,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",3,"Airpore Old 1",7.196,70.051,0.102725157,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",3,"Airpore Old 2",8.018,64.201,0.12488902,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",3,"Airpore Old 3",8.913,47.216,0.188770756,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",3,"Airpore Medium 1",5.599,38.721,0.144598538,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",3,"Airpore Medium 2",9.256,65.402,0.141524724,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",6,"background",8.488,56.091,0.151325525,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",6,"Airpore Old 1",7.232,70.068,0.103214021,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",6,"Airpore Old 2",8.312,63.009,0.131917663,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",6,"Airpore Old 3",9.169,46.438,0.197446057,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",6,"Airpore Medium 1",5.691,37.763,0.150703069,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",6,"Airpore Medium 2",9.099,65.421,0.13908378,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",9,"background",8.562,55.428,0.154470665,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",9,"Airpore Old 1",7.175,68.537,0.104687979,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",9,"Airpore Old 2",8.299,62.726,0.132305583,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",9,"Airpore Old 3",9.005,46.987,0.191648754,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",9,"Airpore Medium 1",5.867,38.424,0.152691026,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",9,"Airpore Medium 2",9.417,65.114,0.144623276,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",12,"background",8.731,54.943,0.158910143,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",12,"Airpore Old 1",7.556,68.574,0.110187535,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",12,"Airpore Old 2",8.187,62.042,0.131958996,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",12,"Airpore Old 3",9.266,46.345,0.199935268,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",12,"Airpore Medium 1",5.87,37.742,0.155529649,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",12,"Airpore Medium 2",9.676,64.77,0.14939015,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",15,"background",8.693,54.716,0.158874918,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",15,"Airpore Old 1",7.64,67.728,0.112804158,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",15,"Airpore Old 2",8.519,62.807,0.135637747,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",15,"Airpore Old 3",9.218,47.146,0.195520299,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",15,"Airpore Medium 1",5.757,37.174,0.154866304,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",15,"Airpore Medium 2",9.521,63.928,0.148933175,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",18,"background",8.73,54.456,0.160312913,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",18,"Airpore Old 1",7.289,67.154,0.108541561,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",18,"Airpore Old 2",8.512,61.863,0.137594362,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",18,"Airpore Old 3",9.137,46.459,0.19666803,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",18,"Airpore Medium 1",5.931,37.797,0.156917216,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",18,"Airpore Medium 2",9.743,62.919,0.154849886,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",21,"background",8.671,53.912,0.160836177,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",21,"Airpore Old 1",7.226,66.524,0.108622452,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",21,"Airpore Old 2",8.574,61.397,0.139648517,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",21,"Airpore Old 3",9.286,46.468,0.199836447,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",21,"Airpore Medium 1",5.691,36.939,0.15406481,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",21,"Airpore Medium 2",9.425,63.565,0.148273421,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",24,"background",8.614,53.971,0.159604232,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",24,"Airpore Old 1",7.456,66.494,0.112130418,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",24,"Airpore Old 2",8.29,62.543,0.132548806,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",24,"Airpore Old 3",9.285,46.549,0.199467228,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",24,"Airpore Medium 1",5.664,37.247,0.152065938,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",24,"Airpore Medium 2",9.721,62.985,0.154338335,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
"cngc3",27,"background",8.724,53.959,0.161678311,"MAX_CNGC 1 2158-6 14,07,25_1-Wrangled.csv"
